,abstract,authors,comment,id,journal_ref,main_author,pdf_url,publish_date,term,terms,title,update_date,url
0,"In a spatially flat Friedmann-Lema\^{i}tre-Robertson-Walker universe, we investigate a unified cosmic fluid scenario endowed with bulk viscosity in which the coefficient of the bulk viscosity has a power law evolution. The power law in the bulk viscous coefficient is a general case in this study which naturally includes several choices as special cases. Considering such a general bulk viscous scenario, in the present work we have extracted the observational constraints using the latest cosmological datasets and examine their behaviour at the level of both background and perturbations. From the observational analyses, we find that a non-zero bulk viscous coefficient is always favored and some of the models in this series are able to weaken the current tension on $H_0$ for some dataset. At the level of perturbations, the models are very much sensitive to their free parameters. We find that the matter power spectra show an unusual blowing up for sufficient strength of the bulk viscous coefficient.","Weiqiang Yang, Supriya Pan, Eleonora Di Valentino, Andronikos Paliathanasis, Jianbo Lu","17 pages, 15 captioned figures, 5 tables; comments are welcome",1906.04162v1,No journal ref found,Jianbo Lu,http://arxiv.org/pdf/1906.04162v1,2019-06-10 17:58:53+00:00,astro-ph.CO,astro-ph.CO|gr-qc,Challenging bulk viscous unified scenarios with cosmological   observations,2019-06-10 17:58:53+00:00,http://arxiv.org/abs/1906.04162v1
1,"We discuss the ability of a dark fluid becoming relevant around the time of matter radiation equality to significantly relieve the tension between local measurements of the Hubble constant and CMB inference, within the $\Lambda$CDM model. We show the gravitational impact of acoustic oscillations in the dark fluid balance the effects on the CMB and result in an improved fit to CMB measurements themselves while simultaneously raising the Hubble constant. The required balance favors a model where the fluid is a scalar field that converts its potential to kinetic energy around matter radiation equality which then quickly redshifts away. We derive the requirements on the potential for this conversion mechanism and find that a simple canonical scalar with two free parameters for its local slope and amplitude robustly improves the fit to the combined data by $\Delta\chi^2 \approx 12.7$ over $\Lambda$CDM. We uncover the CMB polarization signatures that can definitively test this scenario with future data.","Meng-Xiang Lin, Giampaolo Benevento, Wayne Hu, Marco Raveri","v2: added comments on $\sigma_8\Omega_m^{1/2}$; added more
  references. 13 pages, 8 figures",1905.12618v2,No journal ref found,Marco Raveri,http://arxiv.org/pdf/1905.12618v2,2019-05-29 17:59:01+00:00,astro-ph.CO,astro-ph.CO|gr-qc,Acoustic Dark Energy: Potential Conversion of the Hubble Tension,2019-06-10 17:57:37+00:00,http://arxiv.org/abs/1905.12618v2
2,"The Gaia Sausage is the major accretion event that built the stellar halo of the Milky Way galaxy. Here, we provide dynamical and chemical evidence for a second substantial accretion episode, distinct from the Gaia Sausage. The Sequoia Event provided the bulk of the high energy retrograde stars in the stellar halo, as well as the recently discovered globular cluster FSR 1758. There are up to 6 further globular clusters, including $\omega$~Centauri, as well as many of the retrograde substructures in Myeong et al. (2018), associated with the progenitor dwarf galaxy, named the Sequoia. The stellar mass in the Sequoia galaxy is $\sim 5 \times 10^{7} M_\odot$, whilst the total mass is $\sim 10^{10} M_\odot$, as judged from abundance matching or from the total sum of the globular cluster mass. Although clearly less massive than the Sausage, the Sequoia has a distinct chemo-dynamical signature. The strongly retrograde Sequoia stars have a typical eccentricity of $\sim0.6$, whereas the Sausage stars have no clear net rotation and move on predominantly radial orbits. On average, the Sequoia stars have lower metallicity by $\sim 0.3$ dex and higher abundance ratios as compared to the Sausage. We conjecture that the Sausage and the Sequoia galaxies may have been associated and accreted at a comparable epoch.","G. C. Myeong, E. Vasiliev, G. Iorio, N. W. Evans, V. Belokurov","MNRAS, revised version in light of referee's comments. Minor
  modifications and clarifications to the argument, as well as an updated list
  of Sausage Globular Clusters",1904.03185v2,No journal ref found,V. Belokurov,http://arxiv.org/pdf/1904.03185v2,2019-04-04 18:00:05+00:00,astro-ph.GA,astro-ph.GA|astro-ph.SR,Evidence for Two Early Accretion Events That Built the Milky Way Stellar   Halo,2019-06-10 17:42:26+00:00,http://arxiv.org/abs/1904.03185v2
3,"We describe a blind uniform search for thermonuclear burst oscillations (TBOs) in the majority of Type-I bursts observed by RXTE (2118 bursts from 57 neutron stars). We examined 2-2002 Hz power spectra from the Fourier transform in sliding 0.5-2 s windows, using fine-binned light curves in 2-60 keV energy range. The significance of the oscillation candidates was assessed by simulations which took into account light curve variations, dead time and sliding time windows. Some of our sources exhibited multi-frequency variability below approximately 15 Hz that cannot be readily removed with light-curve modeling and may have an astrophysical (non-TBO) nature. Overall, we found that the number and strength of potential candidates depends strongly on the parameters of the search. We found candidates from all previously known RXTE TBO sources, with pulsations that had been detected at similar frequencies in multiple independent time windows, and discovered TBOs from SAX J1810.8-2658. We could not confirm most previously-reported tentative TBO detections or identify any obvious candidates just below the detection threshold at similar frequencies in multiple bursts. We computed fractional amplitudes of all TBO candidates and placed upper limits on non-detections. Finally, for a few sources we noted small excess of candidates with powers comparable to fainter TBOs, but appearing in single independent time bins at random frequencies. At least some of these candidates may be noise spikes that appear interesting due to selection effects. The potential presence of such candidates calls for extra caution if claiming single-bin TBO detections.","Anna V. Bilous, Anna L. Watts","Replaced to match the accepted version. Accepted to ApJS after
  numerous minor corrections",1812.10684v2,No journal ref found,Anna L. Watts,http://arxiv.org/pdf/1812.10684v2,2018-12-27 10:26:58+00:00,astro-ph.HE,astro-ph.HE,A uniform search for thermonuclear burst oscillations in the RXTE legacy   dataset,2019-06-10 17:38:04+00:00,http://arxiv.org/abs/1812.10684v2
4,"Recent years have seen the introduction of various multi-field inflationary scenarios, in which the curvature and geodesics of the scalar manifold play a crucial role. We outline a simple description that unifies these different proposals and discuss their stability criteria. We demonstrate how the underlying dynamics is governed by an effective potential, whose critical points and bifurcations determine the late-time behaviour of the system, thus unifying hyperinflation, angular, orbital and side-tracked inflation. Interestingly, hyperinflation is shown to be a special case of side-tracked inflation. This equivalence relies on the enhanced isometries of the hyperbolic manifold and we provide the explicit coordinate transformation that maps the two models into each other.","Perseas Christodoulidis, Diederik Roest, Evangelos I. Sfakianakis","6 pages, 3 figures, updated figures and discussion",1903.03513v2,No journal ref found,Evangelos I. Sfakianakis,http://arxiv.org/pdf/1903.03513v2,2019-02-28 18:29:28+00:00,gr-qc,gr-qc|astro-ph.CO|hep-th,"Attractors, Bifurcations and Curvature in Multi-field Inflation",2019-06-10 17:37:29+00:00,http://arxiv.org/abs/1903.03513v2
5,"Bayesian analysis of the radiative capture reactions $^3\mathrm{He}(\alpha,\gamma)^7\mathrm{Be}$ and $^3\mathrm{H}(\alpha,\gamma)^7\mathrm{Li}$ are performed to draw inferences about the cross sections at threshold. We do a model comparison of two competing effective field theory power countings for the capture reactions. The two power countings differ in the contribution of two-body electromagnetic currents. In one power counting, two-body currents contribute at leading order, and in the other they contribute at higher orders. The former is favored for $^3\mathrm{He}(\alpha,\gamma)^7\mathrm{Be}$ if elastic scattering data in the incoming channel is considered in the analysis. Without constraints from elastic scattering data, both the power countings are equally favored. For $^3\mathrm{H}(\alpha,\gamma)^7\mathrm{Li}$, the first power counting with two-body current contributions at leading order is favored with or without constraints from elastic scattering data.","Pradeepa Premarathna, Gautam Rupak","11 pages, 8 figures, 6 tables",1906.04143v1,No journal ref found,Gautam Rupak,http://arxiv.org/pdf/1906.04143v1,2019-06-10 17:30:48+00:00,nucl-th,nucl-th|astro-ph.SR,"Bayesian analysis of capture reactions   $^3\mathrm{He}(α,γ)^7\mathrm{Be}$ and   $^3\mathrm{H}(α,γ)^7\mathrm{Li}$",2019-06-10 17:30:48+00:00,http://arxiv.org/abs/1906.04143v1
6,"The habitable zone (HZ) is commonly defined as the range of distances from a host star within which liquid water, a key requirement for life, may exist on a planet's surface. Substantially more CO2 than present in Earth's modern atmosphere is required to maintain clement temperatures for most of the HZ, with several bars required at the outer edge. However, most complex aerobic life on Earth is limited by CO2 concentrations of just fractions of a bar. At the same time, most exoplanets in the traditional HZ reside in proximity to M dwarfs, which are more numerous than Sun-like G dwarfs but are predicted to promote greater abundances of gases that can be toxic in the atmospheres of orbiting planets, such as carbon monoxide (CO). Here we show that the HZ for complex aerobic life is likely limited relative to that for microbial life. We use a 1D radiative-convective climate and photochemical models to circumscribe a Habitable Zone for Complex Life (HZCL) based on known toxicity limits for a range of organisms as a proof of concept. We find that for CO2 tolerances of 0.01, 0.1, and 1 bar, the HZCL is only 21%, 32%, and 50% as wide as the conventional HZ for a Sun-like star, and that CO concentrations may limit some complex life throughout the entire HZ of the coolest M dwarfs. These results cast new light on the likely distribution of complex life in the universe and have important ramifications for the search for exoplanet biosignatures and technosignatures.","Edward W. Schwieterman, Christopher T. Reinhard, Stephanie L. Olson, Chester E. Harman, Timothy W. Lyons","Revised including additional discussion. Published Gold OA in ApJ. 9
  pages, 5 figures, 5 tables",1902.04720v2,No journal ref found,Timothy W. Lyons,http://arxiv.org/pdf/1902.04720v2,2019-02-13 02:56:36+00:00,astro-ph.EP,astro-ph.EP,A Limited Habitable Zone for Complex Life,2019-06-10 17:30:29+00:00,http://arxiv.org/abs/1902.04720v2
7,"We demonstrate a method to systematically obtain eigenvalues and eigenstates of a many-body Hamiltonian describing collective neutrino oscillations. The method is derived from the Richardson-Gaudin framework, which involves casting the eigenproblem as a set of coupled nonlinear ""Bethe Ansatz equations"", the solutions of which can then be used to parametrize the eigenvalues and eigenvectors. The specific approach outlined in this paper consists of defining auxiliary variables that are related to the Bethe-Ansatz parameters, thereby transforming the Bethe-Ansatz equations into a different set of equations that are numerically better behaved and more tractable. We show that it is possible to express not only the eigenvalues, but also the eigenstates, directly in terms of these auxiliary variables without involving the Bethe Ansatz parameters themselves. In this paper, we limit ourselves to a two-flavor, single-angle neutrino system.","Amol V. Patwardhan, Michael J. Cervia, A. Baha Balantekin","18 pages of RevTeX, 4 figures. v2: contains some additional text and
  references, matches journal version",1905.04386v2,No journal ref found,A. Baha Balantekin,http://arxiv.org/pdf/1905.04386v2,2019-05-10 21:47:31+00:00,nucl-th,nucl-th|astro-ph.HE|quant-ph,Eigenvalues and eigenstates of the many-body collective neutrino   oscillation problem,2019-06-10 17:30:27+00:00,http://arxiv.org/abs/1905.04386v2
8,"Orbital evolution of binary systems in dense stellar clusters is important in a variety of contexts: origin of blue stragglers, progenitors of compact object mergers, millisecond pulsars, and so on. Here we consider the general problem of secular evolution of the orbital elements of a binary system driven by the smooth tidal field of an axisymmetric stellar cluster (globular, nuclear, etc.) in which the binary orbits. We derive a secular Hamiltonian (averaged over both the inner Keplerian orbit of the binary and its outer orbit within the cluster) valid to quadrupole order for an arbitrary cluster potential and explore its characteristics. This doubly-averaged 'tidal' Hamiltonian depends on just two parameters, which fully absorb the information about the background cluster potential and the binary's orbit within it: a dimensional parameter $A$ setting the secular timescale, and a dimensionless parameter $\Gamma$ which determines the phase portrait of the binary's inner orbital evolution. We examine the dependence of $A$ and $\Gamma$ on cluster potential (both spherical and axisymmetric) and on the binary orbit within the cluster. Our theory reproduces known secular results - such as Lidov-Kozai evolution and the effect of the Galactic tide on Oort Cloud comets - in appropriate limits, but is more general. It provides a universal framework for understanding dynamical evolution of various types of binaries driven by the smooth tidal field of any axisymmetric potential. In a companion paper (Hamilton & Rafikov 2019b) we provide a detailed exploration of the resulting orbital dynamics.","Chris Hamilton, Roman R. Rafikov","24 pages, 13 figures. Revised version following MNRAS review",1902.01344v3,No journal ref found,Roman R. Rafikov,http://arxiv.org/pdf/1902.01344v3,2019-02-04 18:08:22+00:00,astro-ph.GA,astro-ph.GA,Secular dynamics of binaries in stellar clusters I: general formulation   and dependence on cluster potential,2019-06-10 17:21:11+00:00,http://arxiv.org/abs/1902.01344v3
9,"Dense stellar clusters are natural sites for the origin and evolution of exotic objects such as relativistic binaries (potential gravitational wave sources), blue stragglers, etc. We investigate the secular dynamics of a binary system driven by the global tidal field of an axisymmetric stellar cluster in which the binary orbits. In a companion paper (Hamilton & Rafikov 2019a) we developed a general Hamiltonian framework describing such systems. The effective (doubly-averaged) Hamiltonian derived there encapsulates all information about the tidal potential experienced by the binary in its orbit around the cluster in a single parameter $\Gamma$. Here we provide a thorough exploration of the phase-space of the corresponding secular problem as $\Gamma$ is varied. We find that for $\Gamma > 1/5$ the phase-space structure and the evolution of binary orbital element are qualitatively similar to the Lidov-Kozai problem. However, this is only one of four possible regimes, because the dynamics are qualitatively changed by bifurcations at $\Gamma = 1/5,0,-1/5$. We show how the dynamics are altered in each regime and calculate characteristics such as secular evolution timescale, maximum possible eccentricity, etc. We verify the predictions of our doubly-averaged formalism numerically and find it to be very accurate when its underlying assumptions are fulfilled, typically meaning that the secular timescale should exceed the period of the binary around the cluster by $\gtrsim 10-10^2$ (depending on the cluster potential and binary orbit). Our results may be relevant for understanding the nature of a variety of exotic systems harboured by stellar clusters.","Chris Hamilton, Roman R. Rafikov","25 pages, 14 figures. Revised version following MNRAS review",1902.01345v3,No journal ref found,Roman R. Rafikov,http://arxiv.org/pdf/1902.01345v3,2019-02-04 18:08:37+00:00,astro-ph.SR,astro-ph.SR|astro-ph.EP|astro-ph.GA,Secular dynamics of binaries in stellar clusters II: dynamical evolution,2019-06-10 17:21:08+00:00,http://arxiv.org/abs/1902.01345v3
